City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
291,san antonio de pale,-1.4014,5.6325,27.11,82,1,3.88,GQ,1705897074
292,puerto baquerizo moreno,-0.9,-89.6,25.22,90,27,4.47,EC,1705897075
293,casper,42.8666,-106.3131,2.33,69,0,6.69,US,1705897075
294,hirara,24.8,125.2833,19.15,68,75,11.32,JP,1705896957
295,port douglas,-16.4833,145.4667,30.47,68,100,3.31,AU,1705897076
296,hinton,53.4001,-117.5857,-13.43,98,100,1.28,CA,1705897076
297,ageyevo,54.1588,36.4693,-16.85,100,100,1.99,RU,1705897077
298,kolonia,50.9333,6.95,10.33,80,100,8.75,DE,1705896983
299,changuinola,9.4333,-82.5167,21.64,85,49,0.45,PA,1705897078
300,kralendijk,12.15,-68.2667,26.99,78,20,8.75,BQ,1705897078
301,pacasmayo,-7.4006,-79.5714,23.27,82,98,5.29,PE,1705897078
302,namakkal,11.2213,78.1652,26.12,63,23,0.96,IN,1705897079
303,castillos,-34.1667,-53.8333,16.86,75,3,2.77,UY,1705897079
304,bulungu,-4.55,18.6,21.36,92,49,1.1,CD,1705897079
305,lawang,-7.8353,112.6947,29.43,60,60,0.58,ID,1705897080
306,la passe,45.5549,-0.8967,11.66,79,81,7.05,FR,1705897080
307,mili,6.0815,171.735,27.41,83,46,8.96,MH,1705897082
308,kimbe,-5.5502,150.1429,30.96,63,61,4.36,PG,1705897083
309,xilin hot,43.9667,116.0333,-21.74,80,9,2.05,CN,1705897083
310,utrik,11.2278,169.8474,26.35,79,48,9.26,MH,1705897083
311,egilsstadir,65.2653,-14.3948,-7.05,100,100,1.03,IS,1705897084
312,selfoss,63.9331,-20.9971,-9.32,79,100,6.48,IS,1705897084
313,alice,27.7523,-98.0697,12.69,98,100,3.25,US,1705897085
314,kapa'a,22.0752,-159.319,23.99,89,100,4.12,US,1705897085
315,zhaoyuan,37.3592,120.3964,-6.44,44,100,9.36,CN,1705897086
316,punta del este,-34.9667,-54.95,19.37,78,20,2.06,UY,1705897086
317,inari,68.906,27.0288,-10.89,96,100,1.78,FI,1705897086
318,ar ruways,24.1103,52.7306,19.09,63,0,4.8,AE,1705897045
319,ghazni,33.5536,68.4269,0.56,31,83,1.41,AF,1705897087
320,abepura,-2.6333,140.5833,30.45,55,20,5.66,ID,1705897088
321,santa cruz,-17.8,-63.1667,25.7,94,20,3.6,BO,1705897088
322,al majaridah,19.1236,41.9111,23.05,76,2,1.16,SA,1705897088
323,viedma,-40.8135,-62.9967,20.55,63,28,4.0,AR,1705897089
324,juneau,58.3019,-134.4197,-5.88,95,100,2.57,US,1705896917
325,tsiombe,-25.3,45.4833,25.21,85,20,2.72,MG,1705897089
